DEPTH,GR,RES,NPHI,RHOB
8134.0,18.31,5.45,0.0617,2.298
8006.5,38.78,15.23,0.1797,2.506
8182.5,64.24,8.36,0.2848,2.335
8004.5,54.3,11.02,0.1501,
8072.0,19.16,6.6,0.2121,2.603
8135.5,7.78,8.52,0.0844,2.311
8131.5,18.42,9.44,0.0305,2.316
8185.0,69.42,10.14,0.2558,2.375
8047.0,25.4,,0.2728,2.601
8017.0,75.31,24.56,0.2123,2.499
8047.5,,20.4,0.2574,2.596
8193.5,82.5,11.8,0.2451,2.372
8175.5,69.46,12.69,0.1754,2.317
8174.0,49.06,16.1,0.2459,2.343
8159.0,25.37,23.77,0.1633,2.27
8180.5,77.59,12.73,0.2774,2.314
8057.5,14.65,12.4,0.2298,2.559
8083.0,45.3,15.92,0.1179,2.539
8022.5,64.02,25.08,0.2383,2.507
8079.5,36.22,18.67,0.1543,2.558
8110.0,85.95,16.54,0.065,2.441
8157.5,20.29,28.29,0.1606,2.296
8058.0,11.56,11.15,0.235,2.566
8038.0,49.12,25.62,0.2395,2.656
8156.5,25.0,26.2,0.1592,2.244
8031.0,52.89,22.9,0.2756,2.587
8113.5,54.71,15.82,0.0537,2.377
8092.0,-55.99,25.44,0.0979,2.527
8133.0,36.74,11.72,0.0428,2.387
8098.5,68.27,21.56,0.0905,2.448
8135.0,31.62,18.04,0.0727,2.367
8060.0,16.93,2.67,0.2386,2.598
8185.5,73.45,5.84,0.2471,2.315
8172.0,46.97,20.94,0.2042,2.298
8078.0,42.73,17.43,0.1582,2.541
8042.0,33.04,19.94,0.263,2.569
8111.0,71.93,23.82,0.0529,2.41
8129.5,36.99,8.7,0.0539,2.368
8160.0,25.45,25.65,0.1854,2.337
8037.5,56.07,23.31,0.2857,2.59
8155.5,25.77,,0.1496,2.294
8149.0,17.15,26.31,0.138,2.335
8043.0,44.58,19.74,0.2605,2.539
8199.5,69.41,15.97,0.2762,2.386
8090.0,58.96,25.61,0.1207,2.534
8052.0,17.86,13.25,0.2409,2.616
8024.5,54.8,20.66,0.2226,2.504
8002.5,43.73,9.37,0.1538,2.462
8008.5,60.41,13.61,0.2012,2.496
8115.5,61.97,19.07,0.017,2.426
8159.5,22.67,24.63,0.1823,2.356
8052.5,21.59,13.3,0.237,2.573
8066.0,2.43,8.12,0.1685,2.581
8187.0,87.14,7.89,0.2287,2.372
8111.5,52.99,21.83,0.0957,2.393
8105.5,78.99,21.61,0.0653,2.462
8094.0,54.42,27.49,0.0868,2.497
8176.5,58.15,19.08,0.1949,2.301
8139.5,10.69,21.84,0.1034,2.306
8014.5,64.27,13.01,0.1993,2.58
8083.5,55.02,19.26,0.1655,2.51
8089.0,49.8,19.94,0.0769,2.499
8049.5,21.68,13.12,0.2252,2.609
8097.5,69.07,23.17,0.0749,2.487
8103.0,73.94,20.68,0.0844,2.414
8066.5,15.02,5.18,0.1518,2.631
8188.0,76.98,2.84,,2.313
8194.5,61.9,6.4,0.2305,2.39
8098.0,59.46,23.79,0.115,2.439
8082.0,44.18,25.09,0.1336,2.58
8191.5,64.78,10.3,0.2171,2.377
8067.0,4.22,7.35,0.2027,2.59
8141.0,24.99,17.56,0.0847,2.368
8064.5,-6.25,4.11,0.2014,2.608
8019.5,71.41,21.41,0.2162,2.582
8106.0,77.43,22.34,0.102,2.457
8021.5,67.56,22.35,0.2336,2.51
8026.5,72.27,25.93,0.2611,2.569
8189.5,63.35,8.34,0.2247,2.343
8148.0,17.46,24.11,0.1174,2.367
8194.0,74.63,10.69,0.2607,2.36
8150.5,7.04,27.19,0.0675,2.286
8017.5,59.26,20.6,,2.575
8156.0,24.32,23.35,0.1646,2.279
8153.0,24.01,20.82,0.1475,2.322
8136.5,17.78,14.49,0.0519,2.327
8061.0,21.46,4.69,0.2167,2.593
8070.0,16.26,14.69,0.1572,2.584
8054.5,14.9,10.47,0.275,2.614
8174.5,54.07,13.32,0.1986,2.358
8053.0,32.68,12.55,0.2078,2.601
8006.0,55.02,6.32,0.2028,2.455
8134.5,22.0,17.13,0.0792,2.346
8023.5,77.88,20.66,0.28,2.524
8100.0,500.0,26.38,0.1017,2.439
8170.5,49.46,16.56,0.2301,2.366
8059.0,999.0,8.96,0.2111,2.579
8010.5,59.49,20.31,0.2191,2.506
8041.0,53.59,17.88,0.2399,2.613
8064.0,10.95,7.11,0.2357,2.554
8163.0,40.09,24.06,0.1811,2.359
8113.0,64.54,13.64,0.0524,2.474
8196.0,54.2,13.6,0.238,2.406
8141.5,1.98,20.95,0.1343,2.303
8060.5,3.13,8.81,0.1951,2.611
8016.5,59.92,21.87,0.1961,2.599
8188.5,71.45,4.73,0.2437,2.399
8002.0,42.62,5.65,0.1493,2.46
8009.5,48.35,14.37,0.2085,2.557
8108.0,62.76,20.61,0.0442,2.436
8198.0,48.24,14.47,0.2492,2.42
8073.5,8.84,14.72,0.1555,2.598
8110.5,52.02,19.96,0.0425,2.455
8122.0,37.87,7.6,0.0482,2.386
8177.0,60.12,12.65,0.2556,2.32
8074.5,23.47,14.36,0.1702,2.561
8157.0,29.74,24.88,0.1543,2.298
8144.0,12.67,23.22,0.0961,2.265
8115.0,55.22,9.84,,2.412
8005.0,47.31,12.1,0.1662,2.435
8138.0,17.17,13.52,0.0508,2.319
8035.0,57.54,23.84,0.2451,2.613
8124.5,45.15,7.94,0.0815,2.366
8045.5,39.47,24.61,0.2569,2.672
8173.0,41.22,19.24,0.1889,2.288
8095.0,59.16,25.19,0.0922,2.506
8127.0,24.13,14.37,0.0461,2.373
8168.0,35.35,22.64,0.2176,2.324
8195.0,58.78,13.14,0.252,2.357
8096.5,54.82,25.85,0.0698,2.49
8170.0,39.84,15.19,0.1949,2.311
8067.5,24.35,9.93,0.1821,2.574
8128.5,450.0,8.07,0.083,2.362
8019.0,59.07,16.19,0.2387,2.548
8099.5,58.8,25.38,0.0864,2.453
8186.5,77.48,9.44,0.2418,2.316
8143.5,15.34,19.66,0.1043,2.259
8093.5,59.8,22.44,0.1104,2.545
8124.0,57.16,5.66,0.0829,2.404
8055.5,-14.05,,0.2337,2.624
8090.5,48.08,23.45,0.1117,2.496
8076.0,18.4,20.89,0.1344,-2.58
8154.5,13.98,29.97,0.1795,2.345
8161.0,20.11,20.49,0.18,2.294
8094.5,49.86,22.43,0.0902,2.472
8022.0,58.07,18.94,0.2305,2.523
8136.0,27.77,14.15,0.0778,2.324
8003.0,,4.79,0.1664,2.442
8123.5,38.93,6.69,0.0213,2.386
8154.0,19.34,18.57,0.1268,2.303
8037.0,29.6,29.13,0.249,2.621
8000.0,43.97,0.22,0.1688,2.454
8190.0,62.95,7.51,0.2509,2.375
8033.5,65.53,27.16,0.2541,2.55
8082.5,40.9,20.54,0.1622,2.537
8107.5,75.29,20.99,0.0619,2.464
8021.0,69.07,16.17,0.2022,2.521
8181.5,69.68,11.14,0.201,2.366
8171.0,50.56,18.2,0.2013,2.364
8035.5,65.96,17.66,0.233,2.6
8011.5,51.43,18.82,0.1872,2.513
8091.5,60.71,31.65,0.0987,2.489
8172.5,53.64,16.86,0.2096,2.331
8051.0,18.09,11.85,0.2395,2.595
8104.0,74.1,17.21,0.0853,2.442
8033.0,57.83,26.77,0.2527,2.572
8012.5,65.11,20.83,0.2271,2.501
8097.0,66.79,27.89,0.0619,
8086.5,49.29,22.94,0.1048,2.479
